BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
3.9,AmoebaDB-42_AspGalka,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AspGalka/gff/data/AmoebaDB-42_AspGalka.gff,42,Acanthamoeba sp Galka,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba sp Galka,AmoebaDB 42 annotations for Acanthamoeba sp Galka,OrgDb,SQLiteFile,org.Acanthamoeba_sp_Galka.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_sp_Galka.amoeba.db.sqlite
3.9,AmoebaDB-42_AspIncertaesedis,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AspIncertaesedis/gff/data/AmoebaDB-42_AspIncertaesedis.gff,42,Acanthamoeba sp Incertae sedis,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba sp Incertae sedis,AmoebaDB 42 annotations for Acanthamoeba sp Incertae sedis,OrgDb,SQLiteFile,org.Acanthamoeba_sp_Incertae_sedis.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_sp_Incertae_sedis.amoeba.db.sqlite
3.9,AmoebaDB-42_AspT4b-type,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AspT4b-type/gff/data/AmoebaDB-42_AspT4b-type.gff,42,Acanthamoeba sp T4b-type,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba sp T4b-type,AmoebaDB 42 annotations for Acanthamoeba sp T4b-type,OrgDb,SQLiteFile,org.Acanthamoeba_sp_T4b-type.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_sp_T4b-type.amoeba.db.sqlite
3.9,AmoebaDB-42_AtriangularisSH621,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AtriangularisSH621/gff/data/AmoebaDB-42_AtriangularisSH621.gff,42,Acanthamoeba triangularis SH621,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Acanthamoeba triangularis SH621,AmoebaDB 42 annotations for Acanthamoeba triangularis SH621,OrgDb,SQLiteFile,org.Acanthamoeba_triangularis_SH621.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Acanthamoeba_triangularis_SH621.amoeba.db.sqlite
3.9,AmoebaDB-42_EdisparSAW760,10262,8748,GFF,http://AmoebaDB.org/common/downloads/release-42/EdisparSAW760/gff/data/AmoebaDB-42_EdisparSAW760.gff,42,Entamoeba dispar SAW760,370354,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba dispar SAW760,AmoebaDB 42 annotations for Entamoeba dispar SAW760,OrgDb,SQLiteFile,org.Entamoeba_dispar_SAW760.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_dispar_SAW760.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaDS4,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaDS4/gff/data/AmoebaDB-42_EhistolyticaDS4.gff,42,Entamoeba histolytica DS4-868,885310,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica DS4-868,AmoebaDB 42 annotations for Entamoeba histolytica DS4-868,OrgDb,SQLiteFile,org.Entamoeba_histolytica_DS4-868.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_DS4-868.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaHM1CA,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM1CA/gff/data/AmoebaDB-42_EhistolyticaHM1CA.gff,42,Entamoeba histolytica HM-1:CA,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica HM-1:CA,AmoebaDB 42 annotations for Entamoeba histolytica HM-1:CA,OrgDb,SQLiteFile,org.Entamoeba_histolytica_HM-1:CA.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_HM-1:CA.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaHM1IMSS,8333,8306,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM1IMSS/gff/data/AmoebaDB-42_EhistolyticaHM1IMSS.gff,42,Entamoeba histolytica HM-1:IMSS,294381,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica HM-1:IMSS,AmoebaDB 42 annotations for Entamoeba histolytica HM-1:IMSS,OrgDb,SQLiteFile,org.Entamoeba_histolytica_HM-1:IMSS.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_HM-1:IMSS.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaHM1IMSS-A,6331,6316,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM1IMSS-A/gff/data/AmoebaDB-42_EhistolyticaHM1IMSS-A.gff,42,Entamoeba histolytica HM-1:IMSS-A,885318,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica HM-1:IMSS-A,AmoebaDB 42 annotations for Entamoeba histolytica HM-1:IMSS-A,OrgDb,SQLiteFile,org.Entamoeba_histolytica_HM-1:IMSS-A.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_HM-1:IMSS-A.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaHM1IMSS-B,6311,6248,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM1IMSS-B/gff/data/AmoebaDB-42_EhistolyticaHM1IMSS-B.gff,42,Entamoeba histolytica HM-1:IMSS-B,885319,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica HM-1:IMSS-B,AmoebaDB 42 annotations for Entamoeba histolytica HM-1:IMSS-B,OrgDb,SQLiteFile,org.Entamoeba_histolytica_HM-1:IMSS-B.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_HM-1:IMSS-B.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaHM3IMSS,7362,7158,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM3IMSS/gff/data/AmoebaDB-42_EhistolyticaHM3IMSS.gff,42,Entamoeba histolytica HM-3:IMSS,885315,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica HM-3:IMSS,AmoebaDB 42 annotations for Entamoeba histolytica HM-3:IMSS,OrgDb,SQLiteFile,org.Entamoeba_histolytica_HM-3:IMSS.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_HM-3:IMSS.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaKU27,7469,7415,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaKU27/gff/data/AmoebaDB-42_EhistolyticaKU27.gff,42,Entamoeba histolytica KU27,885311,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica KU27,AmoebaDB 42 annotations for Entamoeba histolytica KU27,OrgDb,SQLiteFile,org.Entamoeba_histolytica_KU27.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_KU27.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaKU48,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaKU48/gff/data/AmoebaDB-42_EhistolyticaKU48.gff,42,Entamoeba histolytica KU48,885312,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica KU48,AmoebaDB 42 annotations for Entamoeba histolytica KU48,OrgDb,SQLiteFile,org.Entamoeba_histolytica_KU48.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_KU48.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaKU50,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaKU50/gff/data/AmoebaDB-42_EhistolyticaKU50.gff,42,Entamoeba histolytica KU50,885313,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica KU50,AmoebaDB 42 annotations for Entamoeba histolytica KU50,OrgDb,SQLiteFile,org.Entamoeba_histolytica_KU50.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_KU50.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaMS96,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaMS96/gff/data/AmoebaDB-42_EhistolyticaMS96.gff,42,Entamoeba histolytica MS96-3382,885314,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica MS96-3382,AmoebaDB 42 annotations for Entamoeba histolytica MS96-3382,OrgDb,SQLiteFile,org.Entamoeba_histolytica_MS96-3382.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_MS96-3382.amoeba.db.sqlite
3.9,AmoebaDB-42_EhistolyticaRahman,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaRahman/gff/data/AmoebaDB-42_EhistolyticaRahman.gff,42,Entamoeba histolytica Rahman,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba histolytica Rahman,AmoebaDB 42 annotations for Entamoeba histolytica Rahman,OrgDb,SQLiteFile,org.Entamoeba_histolytica_Rahman.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_histolytica_Rahman.amoeba.db.sqlite
3.9,AmoebaDB-42_EinvadensIP1,12433,11955,GFF,http://AmoebaDB.org/common/downloads/release-42/EinvadensIP1/gff/data/AmoebaDB-42_EinvadensIP1.gff,42,Entamoeba invadens IP1,370355,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba invadens IP1,AmoebaDB 42 annotations for Entamoeba invadens IP1,OrgDb,SQLiteFile,org.Entamoeba_invadens_IP1.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_invadens_IP1.amoeba.db.sqlite
3.9,AmoebaDB-42_EmoshkovskiiLaredo,12518,12165,GFF,http://AmoebaDB.org/common/downloads/release-42/EmoshkovskiiLaredo/gff/data/AmoebaDB-42_EmoshkovskiiLaredo.gff,42,Entamoeba moshkovskii Laredo,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba moshkovskii Laredo,AmoebaDB 42 annotations for Entamoeba moshkovskii Laredo,OrgDb,SQLiteFile,org.Entamoeba_moshkovskii_Laredo.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_moshkovskii_Laredo.amoeba.db.sqlite
3.9,AmoebaDB-42_EnuttalliP19,6193,6168,GFF,http://AmoebaDB.org/common/downloads/release-42/EnuttalliP19/gff/data/AmoebaDB-42_EnuttalliP19.gff,42,Entamoeba nuttalli P19,1076696,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Entamoeba nuttalli P19,AmoebaDB 42 annotations for Entamoeba nuttalli P19,OrgDb,SQLiteFile,org.Entamoeba_nuttalli_P19.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Entamoeba_nuttalli_P19.amoeba.db.sqlite
3.9,AmoebaDB-42_NfowleriATCC30863,13428,8753,GFF,http://AmoebaDB.org/common/downloads/release-42/NfowleriATCC30863/gff/data/AmoebaDB-42_NfowleriATCC30863.gff,42,Naegleria fowleri ATCC 30863,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Amoeba",Genome wide annotations for Naegleria fowleri ATCC 30863,AmoebaDB 42 annotations for Naegleria fowleri ATCC 30863,OrgDb,SQLiteFile,org.Naegleria_fowleri_ATCC_30863.amoeba.db.sqlite,EuPathDB/OrgDb/3.9/org.Naegleria_fowleri_ATCC_30863.amoeba.db.sqlite
3.9,CryptoDB-42_CveliaCCMP2878,30806,22661,GFF,http://CryptoDB.org/common/downloads/release-42/CveliaCCMP2878/gff/data/CryptoDB-42_CveliaCCMP2878.gff,42,Chromera velia CCMP2878,1169474,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Chromera velia CCMP2878,CryptoDB 42 annotations for Chromera velia CCMP2878,OrgDb,SQLiteFile,org.Chromera_velia_CCMP2878.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Chromera_velia_CCMP2878.crypto.db.sqlite
3.9,CryptoDB-42_Candersoni30847,3948,3861,GFF,http://CryptoDB.org/common/downloads/release-42/Candersoni30847/gff/data/CryptoDB-42_Candersoni30847.gff,42,Cryptosporidium andersoni isolate 30847,NA,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium andersoni isolate 30847,CryptoDB 42 annotations for Cryptosporidium andersoni isolate 30847,OrgDb,SQLiteFile,org.Cryptosporidium_andersoni_isolate_30847.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_andersoni_isolate_30847.crypto.db.sqlite
3.9,CryptoDB-42_CbaileyiTAMU-09Q1,NA,NA,GFF,http://CryptoDB.org/common/downloads/release-42/CbaileyiTAMU-09Q1/gff/data/CryptoDB-42_CbaileyiTAMU-09Q1.gff,42,Cryptosporidium baileyi TAMU-09Q1,NA,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium baileyi TAMU-09Q1,CryptoDB 42 annotations for Cryptosporidium baileyi TAMU-09Q1,OrgDb,SQLiteFile,org.Cryptosporidium_baileyi_TAMU-09Q1.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_baileyi_TAMU-09Q1.crypto.db.sqlite
3.9,CryptoDB-42_Chominis37999,NA,NA,GFF,http://CryptoDB.org/common/downloads/release-42/Chominis37999/gff/data/CryptoDB-42_Chominis37999.gff,42,Cryptosporidium hominis 37999,NA,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium hominis 37999,CryptoDB 42 annotations for Cryptosporidium hominis 37999,OrgDb,SQLiteFile,org.Cryptosporidium_hominis_37999.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_hominis_37999.crypto.db.sqlite
3.9,CryptoDB-42_ChominisTU502,3956,3886,GFF,http://CryptoDB.org/common/downloads/release-42/ChominisTU502/gff/data/CryptoDB-42_ChominisTU502.gff,42,Cryptosporidium hominis TU502,353151,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium hominis TU502,CryptoDB 42 annotations for Cryptosporidium hominis TU502,OrgDb,SQLiteFile,org.Cryptosporidium_hominis_TU502.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_hominis_TU502.crypto.db.sqlite
3.9,CryptoDB-42_ChominisUKH1,NA,NA,GFF,http://CryptoDB.org/common/downloads/release-42/ChominisUKH1/gff/data/CryptoDB-42_ChominisUKH1.gff,42,Cryptosporidium hominis UKH1,NA,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium hominis UKH1,CryptoDB 42 annotations for Cryptosporidium hominis UKH1,OrgDb,SQLiteFile,org.Cryptosporidium_hominis_UKH1.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_hominis_UKH1.crypto.db.sqlite
3.9,CryptoDB-42_ChominisUdeA01,3863,3809,GFF,http://CryptoDB.org/common/downloads/release-42/ChominisUdeA01/gff/data/CryptoDB-42_ChominisUdeA01.gff,42,Cryptosporidium hominis UdeA01,NA,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium hominis UdeA01,CryptoDB 42 annotations for Cryptosporidium hominis UdeA01,OrgDb,SQLiteFile,org.Cryptosporidium_hominis_UdeA01.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_hominis_UdeA01.crypto.db.sqlite
3.9,CryptoDB-42_Chominis30976,3994,3932,GFF,http://CryptoDB.org/common/downloads/release-42/Chominis30976/gff/data/CryptoDB-42_Chominis30976.gff,42,Cryptosporidium hominis isolate 30976,NA,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium hominis isolate 30976,CryptoDB 42 annotations for Cryptosporidium hominis isolate 30976,OrgDb,SQLiteFile,org.Cryptosporidium_hominis_isolate_30976.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_hominis_isolate_30976.crypto.db.sqlite
3.9,CryptoDB-42_ChominisTU502_2012,3797,3741,GFF,http://CryptoDB.org/common/downloads/release-42/ChominisTU502_2012/gff/data/CryptoDB-42_ChominisTU502_2012.gff,42,Cryptosporidium hominis isolate TU502_2012,NA,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium hominis isolate TU502_2012,CryptoDB 42 annotations for Cryptosporidium hominis isolate TU502_2012,OrgDb,SQLiteFile,org.Cryptosporidium_hominis_isolate_TU502_2012.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_hominis_isolate_TU502_2012.crypto.db.sqlite
3.9,CryptoDB-42_CmeleagridisUKMEL1,3806,3742,GFF,http://CryptoDB.org/common/downloads/release-42/CmeleagridisUKMEL1/gff/data/CryptoDB-42_CmeleagridisUKMEL1.gff,42,Cryptosporidium meleagridis strain UKMEL1,NA,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,"Annotation,EuPathDB,Eukaryote,Pathogen,Parasite,Cryptosporidium",Genome wide annotations for Cryptosporidium meleagridis strain UKMEL1,CryptoDB 42 annotations for Cryptosporidium meleagridis strain UKMEL1,OrgDb,SQLiteFile,org.Cryptosporidium_meleagridis_strain_UKMEL1.crypto.db.sqlite,EuPathDB/OrgDb/3.9/org.Cryptosporidium_meleagridis_strain_UKMEL1.crypto.db.sqlite
